Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.805,00000332,0,Rx,0,8,01,00,00,00,00,00,0C,0D
1743890401.806,00000231,0,Rx,0,8,00,02,00,00,00,00,04,06
1743890401.807,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.808,00000010,0,Rx,0,8,00,FF,61,30,00,00,00,AE
1743890401.809,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.810,00000231,0,Rx,0,8,00,02,00,00,00,00,08,0A
1743890401.811,00000102,0,Rx,0,8,00,00,18,63,58,CE,02,EF
1743890401.812,00000122,0,Rx,0,8,2A,23,2D,21,00,00,05,00
1743890401.813,00000231,0,Rx,0,8,00,02,00,00,00,00,09,0B
1743890401.814,00000010,0,Rx,0,8,00,FF,61,30,00,00,04,AA
1743890401.815,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.816,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.817,00000012,0,Rx,0,8,99,99,32,00,01,00,03,30
1743890401.818,00000102,0,Rx,0,8,00,00,18,63,58,CE,07,EA
1743890401.819,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,06,08
1743890401.820,00000012,0,Rx,0,8,99,99,32,00,00,00,04,36
1743890401.821,00000102,0,Rx,0,8,00,00,18,63,58,CE,09,E4
1743890401.822,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,07,07
1743890401.823,00000103,0,Rx,0,8,03,00,02,00,00,00,0A,0B
1743890401.824,00000103,0,Rx,0,8,03,00,02,00,00,00,0B,0A
1743890401.825,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.826,00000231,0,Rx,0,8,00,03,00,00,00,00,03,00
1743890401.827,00000320,0,Rx,0,8,20,00,00,00,F0,00,82,00
1743890401.828,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.829,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.830,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.831,00000102,0,Rx,0,8,00,00,18,63,58,CE,00,ED
1743890401.832,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.833,00000102,0,Rx,0,8,00,00,18,63,58,CE,01,EC
1743890401.834,00000012,0,Rx,0,8,99,99,32,00,00,00,08,3A
1743890401.835,00000103,0,Rx,0,8,03,00,02,00,00,00,03,02
1743890401.836,00000122,0,Rx,0,8,2A,23,2D,21,00,00,05,00
1743890401.837,00000122,0,Rx,0,8,2A,23,2D,21,00,00,06,03
1743890401.838,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,0C,FA
1743890401.839,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.840,00000231,0,Rx,0,8,00,04,00,00,00,00,0C,08
1743890401.841,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.842,00000102,0,Rx,0,8,00,00,18,63,58,CE,04,E9
1743890401.843,00000010,0,Rx,0,8,00,FF,61,30,00,00,01,AF
1743890401.844,00000102,0,Rx,0,8,00,00,18,63,58,CE,06,EB
1743890401.845,00000122,0,Rx,0,8,2A,23,2D,21,00,00,08,0D
1743890401.846,00000308,0,Rx,0,8,00,12,00,00,00,00,82,00
1743890401.847,00000320,0,Rx,0,8,20,00,00,00,F0,00,82,00
1743890401.848,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0A,0F
1743890401.849,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,06,06
1743890401.850,00000231,0,Rx,0,8,00,05,00,00,00,00,0F,0A
1743890401.851,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0C,09
1743890401.852,00000231,0,Rx,0,8,00,05,00,00,00,00,00,05
1743890401.853,00000231,0,Rx,0,8,00,05,00,00,00,00,02,07
1743890401.854,00000122,0,Rx,0,8,2A,23,2D,21,00,00,0E,0B
1743890401.855,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.856,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.857,00000103,0,Rx,0,8,03,00,02,00,00,00,0E,0F
1743890401.858,00000231,0,Rx,0,8,00,05,00,00,00,00,05,00
